word,count
blindim,2
sayhes,2
loudhere,1
played,71
riches,3
brighten,3
blueon,4
breasts,1
kneeling,3
colder,5
teaching,1
bluesso,2
spent,59
songla,2
rash,2
eyeive,2
celebrated,4
chest,14
blueseverybody,1
fishing,3
exes,1
dancecause,2
blood,47
game,168
ticket,15
visit,2
theyre,185
fingeryeow,2
poverty,7
noseguaranteed,1
boyfriend,3
orange,1
wealthy,1
champion,31
looking,267
sayand,8
rough,56
dreamily,1
toe,17
skull,1
friendsid,2
musictheres,2
rumor,2
harmony,19
vein,7
dado,1
legsnow,2
received,1
cleanaint,1
proud,72
scratch,13
laboratory,1
brothersone,1
hearing,20
qualified,3
meets,11
whod,4
coldlike,1
kneedeep,1
bluesgood,1
hairif,4
noses,2
disease,11
we,4178
survivewe,1
gameplay,3
costs,3
friendyou,2
gambler,4
able,13
perfection,2
gain,6
iv,1
squares,2
stare,35
incorporated,5
dancinyou,2
sleepchorusempty,1
club,43
blind,246
doctor,21
roundyou,2
heroyou,2
honorable,1
climb,53
travelin,21
prizeand,2
saymerrier,4
heroin,1
survived,2
request,6
kneesin,1
poisoni,1
sayfriends,2
whispers,8
strongbut,1
phoney,1
cookin,1
quittin,1
warms,2
voices,56
musicits,2
sleepwalking,1
standup,1
quiet,30
saywapapapapapapow,2
teachin,1
wound,6
loudon,1
baking,1
language,11
pregnant,1
promotion,2
asleep,36
guest,2
tickets1your,1
gates,7
tvs,2
bloody,8
your,6315
toothats,1
running,184
danceindustry,1
fortune,19
learnoh,2
taxed,2
thighs,8
ambition,4
soundlook,1
musicians,2
daughters,1
breath,117
kidsaid,1
easygot,1
loves,206
greyive,1
danceput,1
strength,70
cleancanary,1
vitamin,3
wholl,17
hush,26
smoother,3
survivor,27
family,201
fingerprints,2
tiring,2
letter,25
brains,1
poetry,8
tenderly,5
partywe,4
lovings,3
beaches,3
roundand,6
dancedancin,1
taught,50
offered,1
soundtracks,1
shout,47
tingles,2
homework,6
his,1239
showerdont,1
persuasion,12
inaudible,1
studio,9
hike,1
buyin,3
receive,15
grey,9
gainwe,1
clinical,1
meeting,10
talking,125
crown,2
spoken,24
momma,16
refusing,1
helps,7
guests,2
lazy,6
heavy,26
insulting,1
sleepchorus,1
shopping,8
showers,3
sayall,10
sounds,37
songbaby,2
richest,1
toyou,1
motive,2
profits,8
saywas,2
gained,1
brownand,2
owe,19
losers,1
skatin,2
surviving,1
yelling,1
glowoh,1
eyey,4
mouth,45
browne,2
press,4
dancerrhythm,6
produce,4
friendhow,2
boytheres,8
hip,23
purple,12
touchin,7
boyin,2
songooo,2
pool,11
numb,9
football,3
solves,1
throat,2
dreamcould,1
lost,348
skill,2
daddyd,1
sayfeels,2
beauties,1
require,2
intoxication,1
blinds,6
roundonce,2
overheard,1
boyjust,2
relaxation,2
moneyif,1
somebodys,50
hotelyou,1
spine,9
freezy,1
reporting,1
tease,20
listening,50
teammoney,4
brothereverybody,2
faces,59
bluer,1
transfer,2
parks,2
winnow,2
someone,416
account,2
gamebefore,1
hairs,4
buddy,6
jobthats,1
payi,4
holiday,12
mattress,3
refuseis,2
friendill,1
eyesyeah,2
blindso,4
brightly,3
sayyoure,2
bankhead,1
weaktime,1
coloring,1
dancinthe,1
sweater,4
failpictures,1
heal,21
doordont,2
breathing,28
brightened,1
conquer,8
brighteyed,1
danceooh,1
colourwhy,1
eyesverse,4
toothless,1
our,896
sweat,10
cheapbeen,1
loveromeo,2
address,3
friendso,1
heads,40
shoe,6
feelingwe,1
hiphop,3
strongsoon,1
harmonized,1
eyesstrumming,2
drying,2
daddy,35
circle,6
saybaby,4
boynow,2
dancingim,1
boyi,12
partyred,2
political,1
softly,29
rum,1
welfare,4
djs,3
strongyoure,3
requested,1
dancingboogie,1
soundsafe,3
fulfilled,1
achievewhen,1
brotheri,1
questionand,1
papers,4
surviveevery,1
youve,567
goall,6
doorooh,2
legal,1
dancy,2
recruit,2
saw,184
colour,10
eyeswith,2
ma,66
eyeschorus,2
dancers,3
pillow,19
progress,1
doorbut,2
brotherhood,5
hottie,2
screams,9
veins,15
hotels,2
theyve,54
grip,12
shoes,50
cleaned,1
kid,53
insomniac,2
dancedance,12
dancinkeep,1
mom,20
danceyou,1
loverap,2
buy,51
strongcoming,1
payment,2
tingle,1
lesson,8
sweati,1
phonewell,1
sleepsit,1
fired,4
man,1704
told,254
finger,38
solve,13
rumour,24
beer,16
bud,6
schools,1
aches,5
neighbors,18
greyyes,1
sleepless,4
ya,506
dreamooh,1
boybridge,2
youd,202
eyeswhen,2
boysometimes,4
production,2
brushed,2
powerpower,1
cleanill,1
bony,2
musicplease,12
teasing,3
look,720
doses,1
skin,132
sharing,12
talked,13
controlcontrol,1
video,2
sayhave,2
touched,37
haired,8
ourselves,45
surviveyou,1
cooland,1
dade,1
jokes,3
ill,1848
borrow,13
roundinstinctively,4
winner,12
strongour,1
theirsi,1
guitar,47
arms,266
colours,8
shittin,1
bluecause,1
boyz,18
visage,9
choirs,12
