word,count
rocks,12
uncle,12
image,12
speaks,12
paying,12
president,12
learnttake,12
blinding,12
wounds,12
involved,12
neighbourhood,12
lovereal,12
books,11
reggae,11
candles,11
fail,11
lipstick,11
joker,11
whiskey,11
helping,11
meets,11
gain,11
request,11
language,11
receive,11
purple,11
account,11
talked,11
caress,11
glowing,11
symphony,11
teeth,11
harden,11
cancer,11
companion,11
writing,11
porch,11
important,11
cooler,11
kings,11
traveled,10
moms,10
mate,10
girlmy,10
aching,10
gate,10
climbing,10
art,10
scratch,10
meeting,10
helps,10
shoe,10
colour,10
sleepless,10
mention,10
fellow,10
bathe,10
eyesyou,10
beautys,10
payin,10
blindfolded,10
itch,10
sayoh,10
eyesso,10
screamin,10
princess,10
payphone,10
create,10
saythis,10
saywe,10
soundi,10
eyesooh,10
credit,10
parties,10
flesh,9
sofa,9
dreamers,9
families,9
painful,9
sunshiny,9
lip,9
thirsty,9
disease,9
tenderly,9
grey,9
spine,9
aches,9
visage,9
tighter,9
rap,9
teacher,9
peoples,9
stared,9
blonde,9
artist,9
glance,9
sir,9
magazine,9
greed,9
rooms,9
square,9
personal,9
moneyall,9
climbed,9
creation,8
powers,8
girlif,8
softer,8
girlget,8
poverty,8
sayand,8
wound,8
gates,8
girlfew,8
bluer,8
mattress,8
conquer,8
address,8
girlthis,8
sounding,8
borrow,8
succeed,8
hungover,8
dancei,8
choir,8
marriedmeet,8
themselves,8
thee,8
interview,8
friendly,8
sayo,8
tequila,8
reading,8
girlcant,8
yell,8
roundow,8
created,8
wages,8
role,8
granddaughter,8
touches,8
ye,8
offer,8
motives,8
rounds,8
traveling,8
roundabout,8
palm,8
pains,8
breathless,8
poopoooo,8
girldamn,8
unwind,8
eyeshere,8
limits,7
guitars,7
politics,7
faint,7
couch,7
recording,7
failed,7
brighten,7
visit,7
perfection,7
poetry,7
sweater,7
grip,7
houses,7
healthy,7
hottest,7
entertain,7
fee,7
weekends,7
ringing,7
warmer,7
loosen,7
kidding,7
sleepy,7
solution,7
skates,7
sights,7
medicine,7
toxic,7
carpet,7
quietly,7
wins,7
nerve,7
sharp,7
leg,7
heals,7
stories,7
dreamsand,7
speech,7
blindand,6
loft,6
sayyou,6
eyeswhatever,6
hairy,6
advantage,6
grade,6
saycome,6
climbin,6
strokes,6
loser,6
producer,6
blond,6
songand,6
sings,6
amigosmacarena,6
motivo,6
gardens,6
pen,6
girlwell,6
songyou,6
sunshines,6
yard,6
vein,6
girlgirl,6
grandmas,6
sayall,6
motive,6
dancerrhythm,6
throat,6
blinds,6
goall,6
celebrateso,6
sayna,6
bud,6
titties,6
video,6
haired,6
survivinwhatim,6
group,6
gaze,6
hairand,6
sayshe,6
breathin,6
songevery,6
pet,6
girlquien,6
contagious,6
girlcountry,6
songsi,6
shoutin,6
pills,6
student,6
planning,6
eyesoh,6
buck,6
motivating,6
amigosdale,6
brightest,6
numbness,6
knee,6
waist,6
decorated,6
successful,6
symphonies,6
practice,6
ache,6
neighbours,6
heroes,6
eyesthe,6
warmest,6
eyesif,6
mall,6
film,6
sayyeah,6
mommy,6
hears,6
sayshoop,6
thicker,6
sayno,6
girlooh,6
newborn,6
sayburn,6
cds,6
sends,5
grabs,5
hormones,5
greener,5
freeze,5
tickets,5
nerves,5
powerful,5
heel,5
belly,5
selling,5
fathers,5
loss,5
television,5
moneys,5
drinking,5
rumor,5
incorporated,5
cookin,5
lovings,5
beaches,5
press,5
circle,5
djs,5
someoneeverything,5
fulfill,5
sandy,5
sands,5
oven,5
sendin,5
resting,5
drugs,5
reply,5
nickel,5
paperdoll,5
honor,5
friendsi,5
challenge,5
poopooooi,5
owes,5
buying,5
gal,5
fevers,5
sunshinemy,5
dimes,5
patio,5
dried,5
clubs,5
den,5
breathes,5
creativity,5
addiction,5
manage,5
prize,5
armsi,5
rug,5
noise,5
social,5
inc,5
motel,5
saytake,4
saythat,4
celebratehappy,4
eyesnow,4
girlyoure,4
cent,4
gardeni,4
somebodysomeone,4
kin,4
tightrope,4
girlwhen,4
soundtrack,4
sayingayo,4
dreamis,4
girlim,4
songyeah,4
sayshalala,4
celebrating,4
learnt,4
paperback,4
saycest,4
dreami,4
blindbet,4
service,4
telephonin,4
ability,4
health,4
coldi,4
speaker,4
saydo,4
shopped,4
partners,4
humans,4
soundin,4
partynow,4
eyethere,4
handful,4
itchin,4
skate,4
bro,4
eyeslove,4
thickness,4
riches,4
friendsll,4
songla,4
rash,4
celebrated,4
qualified,4
hairif,4
roundyou,4
songlately,4
saymerrier,4
loses,4
perform,4
sayfor,4
broad,4
homework,4
saycause,4
crown,4
eyey,4
sayif,4
teammoney,4
payi,4
blindso,4
sayyoure,4
loverboy,4
eyesverse,4
girlthere,4
hiphop,4
saybaby,4
papers,4
girlin,4
payment,4
sunburn,4
colours,4
survives,4
pinky,4
girlthe,4
songgliddy,4
grandma,4
jaw,4
overcome,4
girllet,4
tvwish,4
eyeswhile,4
pulse,4
eyesfinally,4
dancingdance,4
drunkpoppin,4
celebratei,4
swimmin,4
doorway,4
produced,4
eyesive,4
goals,4
sayare,4
songall,4
musicyouve,4
chilling,4
novel,4
brushing,4
driven,4
sayingwhere,4
eyesmaybe,4
girlstep,4
responsible,4
jazzjazz,4
payed,4
teamyou,4
sayyo,4
roundround,4
tax,4
eyesyoure,4
goalthough,4
moneythe,4
tries,4
beautifullast,4
entertaining,4
bucks,4
exchange,4
tire,4
loveri,4
types,4
sale,4
mail,4
stocks,4
proudstronger,4
sayits,4
girlbaby,4
doll,4
friendi,4
drinkdrink,4
wrist,4
rental,4
loverall,4
learnin,4
police,4
eyelike,4
dreamsbut,4
compete,4
eyesgive,4
thy,4
drinkin,4
fuzzy,4
operator,4
songis,4
tvwould,4
teachers,4
honored,4
blindyou,4
girllight,4
taxes,4
loveryou,4
bath,4
saywhy,4
baths,4
tooth,4
teams,4
proudbr,4
sweats,4
bathtub,4
loudbr,4
spitting,4
thrift,4
friendand,4
victoria,4
dreamsno,4
fellows,4
closet,3
performed,3
relationships,3
dr,3
loudjust,3
hangover,3
touchoh,3
choked,3
conquered,3
greenest,3
offering,3
dadadaday,3
doorim,3
doorall,3
bluei,3
thou,3
loudapplause,3
effect,3
caressing,3
bike,3
hellowith,3
moneyget,3
stock,3
shouting,3
doctors,3
wounded,3
mtv,3
heavier,3
margaritaville,3
baseball,3
weaker,3
loosely,3
headache,3
jackpot,3
kneeling,3
received,3
costs,3
gameplay,3
watches,3
survived,3
talkers,3
ambition,3
touche,3
coldest,3
persuasion,3
buyin,3
girlfriendoh,3
losers,3
rubs,3
football,3
tits,3
debts,3
closure,3
suggest,3
brightly,3
girlfriendi,3
doordont,3
drying,3
heroh,3
rum,3
strongyoure,3
soundsafe,3
brotherhood,3
cleaned,3
checks,3
fired,3
scrape,3
shittin,3
fuzz,3
bleedin,3
djhey,3
friendsand,3
fragile,3
fails,3
sightla,3
girlfriendno,3
prescribe,3
dreamswhere,3
marriage,3
thigh,3
beautifulyoure,3
palms,3
betting,3
achievers,3
froze,3
invest,3
whitewalls,3
xray,3
pretendin,3
moviepeg,3
nurse,3
controli,3
purchase,3
phones,3
immune,3
neighborhoods,3
screamingyeah,3
program,3
jazzy,3
easyslow,3
caresso,3
cooking,3
strongcause,3
bodygonna,3
friendif,3
proudthis,3
magazines,3
tightly,3
winnin,3
dreamsi,3
achieve,3
guts,3
drummer,3
girlfriendyoure,3
pretendingi,3
friendoh,3
creationcome,3
friendswhy,3
schooled,3
hotthis,3
defeat,3
professional,3
runner,3
softness,3
gazing,3
coolest,3
grips,3
survivorslife,3
silky,3
vodka,3
joke,3
interrupt,3
recover,3
pooroutor,3
