,Unnamed: 0,Lyrics,Year,dominant_gender,Emotions
10,23, hey mr tambourine man play a song for me im not sleepy and there aint no place im going to hey mr tambourine man play a song for me in the jingle jangle morning ill come followin youtake me for a trip upon your magic swirling ship all my senses have been stripped and my hands cant feel to grip and my toes too numb to step wait only for my boot heels to be wanderingim ready to go anywhere im ready for to fade into my own parade cast your dancing spell my way i promise to go under ithey mr tambourine man play a song for me im not sleepy and there aint no place im going to hey mr tambourine man play a song for me in the jingle jangle morning ill come followin you ,1965,male,"{'score': 0.540937, 'tone_id': 'joy', 'tone_name': 'Joy'}"
11,27, the eastern world it is explodin violence flarin bullets loadin youre old enough to kill but not for votin you dont believe in war but whats that gun youre totin and even the jordan river has bodies floatinbut you tell me over and over and over again my friend ah you dont believe were on the eve of destructiondont you understand what im trying to say cant you feel the fears that im feeling today if the button is pushed theres no running away therell be none to save with the world in a grave take a look around you boy its bound to scare you boyand you tell me over and over and over again my friend ah you dont believe were on the eve of destructionyeah my bloods so mad feels like coagulatin im sittin here just contemplatin i cant twist the truth it knows no regulation handful of senators dont pass legislationand marches alone cant bring integration when human respect is disintegratin this whole crazy world is just too frustratinand you tell me over and over and over again my friend ah you dont believe were on the eve of destructionthink of all the hate there is in red china then take a look around to selma alabama ah you may leave here for four days in space but when you return its the same old placethe poundin of the drums the pride and disgrace you can bury your dead but dont leave a trace hate your next door neighbor but dont forget to say graceand tell me over and over and over and over again my friend you dont believe were on the eve of destruction no no you dont believe were on the eve of destruction ,1965,male,"{'score': 0.597623, 'tone_id': 'anger', 'tone_name': 'Anger'}"
12,28,hang on sloopy sloopy hang on hang on sloopy sloopy hang on sloopy lives in a very bad part of town and everybody there tries to put my sloopy down sloopy i dont care what your daddy do cause you know sloopy girl im in love with you and so im singing yeah yeah yeah yeah sloopy let your hair down girl let it run down on me sloopy let your hair down girl let it run down on me come on sloopy come on come on come on sloopy come on come on well come on sloopy come on come on well come on sloopy come on come on well it feels so good come on come on you know it feels so good come on come on well shake it shake it shake it sloopy come on come on well shake it shake it shake it yeah yeah yeah yeah yeah yeah,1965,female,"{'score': 0.668823, 'tone_id': 'joy', 'tone_name': 'Joy'}"
13,29,i think im gonna be sad i think its today yeah the girl thats driving me mad is going away shes got a ticket to ride shes got a ticket to ride shes got a ticket to ride but she dont care she said that living with me is bringing her down yeah for she would never be free when i was around shes got a ticket to ride shes got a ticket to ride shes got a ticket to ride but she dont care i dont know why shes riding so high she ought to think twice she ought to do right by me before she gets to saying goodbye she ought to think twice she ought to do right by me i think im gonna be sad i think its today yeah the girl thats driving me mad is going away yeah oh shes got a ticket to ride shes got a ticket to ride shes got a ticket to ride but she dont care i dont know why shes riding so high she ought to think twice she ought to do right by me before she gets to saying goodbye she ought to think twice she ought to do right by me she said that living with me was bringing her down yeah for she would never be free when i was around oh shes got a ticket to ride shes got a ticket to ride shes got a ticket to ride but she dont care my baby dont care my baby dont care my baby dont care my baby dont care my baby dont care my baby dont care,1965,female,"{'score': 0.705989, 'tone_id': 'sadness', 'tone_name': 'Sadness'}"
14,30,i want some red roses for a blue lady mister florist take my order please we had a silly quarrel the other day i hope these pretty flowers chase her blues away i want some red roses for a blue lady send them to the sweetest gal in town and if they do the trick ill hurry back to pick your best white orchid for her wedding gown i want some red roses for a blue lady we had a silly quarrel the other day i hope these pretty flowers chase her blues away i want some red roses for a blue blue lady send them to the sweetest gal in town and if they do the trick ill hurry back to pick your best white orchid for her wedding gown your best white orchid for her wedding gown,1965,female,"{'score': 0.751648, 'tone_id': 'joy', 'tone_name': 'Joy'}"
15,38, hush hush sweet charlotte charlotte dont you cry hush hush sweet charlotte hell love you till he diesoh hold him darling please hold him tight and brush the tear from your eyes you weep because you had a dream last night you dreamed that he said goodbyehe held two roses within his hand two roses he gave to you the red rose tells you of his passion the white rose his love so truehush hush sweet charlotte charlotte dont you cry hush hush sweet charlotte hell love you till he diesand every night after he shall die yes every night when hes gone the wind will sing to you this lullaby sweet charlotte was loved by johnhush hush sweet charlotte charlotte dont you cry hush hush sweet charlotte hell love you till he dies ,1965,male,"{'score': 0.751499, 'tone_id': 'joy', 'tone_name': 'Joy'}"
16,41,gerry miscellaneous ferry cross the mersey ferry cross the mersey gerry and pace makers gerry marsden life goes on day after day hearts torn in every way so ferry cross the mersey cause this lands the place i love and here ill stay people they rush everywhere each with their own secret care so ferry cross the mersey and always take me there the place i love people around every corner they seem to smile and say we dont care what your name is boy well never turn you away so ill continue to say here i always will stay so ferry cross the mersey cause this lands the place i love and here ill stay and here ill stay here ill stay,1965,male,
17,42, theres alot of things i want a lot of things that id like to be but girl i dont forsee a ragstoriches story for me theres just one little dream ive got to come true theres just one round ive gotta win i cant be a loser with youbaby baby once in my life let me get what i want girl dont let me down just once in my life let me hold on to one good thing i found dont let me down baby say that youll be stayincause i couldnt face a day if you werent here by my side if you went away then id be left without any pride ive given up on schemes cause all of them fell through ive given up so many things dont ask me to give up on youbaby baby once in my life let me get what i want girl dont let me down just once in my life let me hold on to one good thing i found dont let me down baby say that youll be stayinthat old pot of gold aint so easy to find but if you stand by me ill keep my peace of mind i cant give you the world but i ill work hard for you girl ill work hard evryday all my life so baby please dont leave me just do this for meonce in my life let me get what i want girl dont let me down just once in my life let me hold on to one good thing i found dont let me down baby say that youll be stayin  ,1965,female,"{'score': 0.634262, 'tone_id': 'joy', 'tone_name': 'Joy'}"
18,51,some men climb the mountains some men swim the seas some men fly above the sky they are what they must be baby the rain must fall baby the wind must blow wherever my heart leads me baby i must go baby i must go i do not love for silver i do not love for gold my heart is mine to give away it never will be sold baby the rain must fall baby the wind must blow wherever my heart leads me baby i must go baby i must go,1965,male,
19,53,ooh i need your love babe guess you know its true hope you need my love babe just like i need you hold me love me hold me love me i aint got nothing but love babe eight days a week love you every day girl always on my mind one thing i can say girl love you all the time hold me love me hold me love me i aint got nothing but love girl eight days a week eight days a week i love you eight days a week is not enough to show i care ooh i need your love babe guess you know its true hope you need my love babe just like i need you oh hold me love me hold me love me i aint got nothing but love babe eight days a week eight days a week i love you eight days a week is not enough to show i care love you every day girl always on my mind one thing i can say girl love you all the time hold me love me hold me love me i aint got nothing but love babe eight days a week eight days a week eight days a week,1965,female,"{'score': 0.728484, 'tone_id': 'joy', 'tone_name': 'Joy'}"
